,0_Interquartile range,0_Kurtosis,0_Mean,0_Mean absolute deviation,0_Median,0_Median absolute deviation,0_Root mean square,0_Skewness,0_Standard deviation,0_Variance,Class
117,0.487530898,-0.966563512,0.538786234,0.248590188,0.612672004,0.181567127,0.617147262,-0.404626879,0.300965342,0.090580137,1
118,0.537897991,-1.101968489,0.52485184,0.257618399,0.57840274,0.238830975,0.607545883,-0.300206668,0.306010697,0.093642546,1
119,0.537897991,-1.162203917,0.51362599,0.261356576,0.571407063,0.27775094,0.598529617,-0.201657309,0.30728821,0.094426044,1
120,0.501930224,-1.153692178,0.497698694,0.260825817,0.558711196,0.283158699,0.583440635,-0.095978738,0.30446508,0.092698985,1
121,0.48507981,-1.103106672,0.479981005,0.257418231,0.539689271,0.264136775,0.566067691,0.020043394,0.300084765,0.090050866,1
122,0.474148183,-1.016717494,0.454625049,0.250520506,0.516240259,0.249471335,0.539694094,0.148327483,0.290836346,0.08458578,1
123,0.417394778,-0.962599566,0.434324256,0.243423647,0.487178375,0.22792707,0.51664623,0.187783211,0.279795939,0.078285768,1
124,0.480493769,-1.241880762,0.448603657,0.265987978,0.504124514,0.259554792,0.536158081,0.090776791,0.293632843,0.086220246,1
125,0.53458767,-1.44032276,0.453224392,0.283020319,0.517476409,0.26910063,0.54525499,0.055978154,0.303134714,0.091890655,1
126,0.448077286,-1.057781122,0.478497724,0.241437178,0.460054103,0.245411246,0.550425808,-0.010642627,0.272045029,0.074008498,1
127,0.309824059,-0.35797452,0.506417917,0.200952578,0.46192364,0.14926926,0.567547451,0.062678787,0.256224516,0.065651003,1
128,0.253002743,0.123670967,0.564283919,0.188143623,0.617920826,0.102406765,0.615268665,-0.564161311,0.245232926,0.060139188,0
129,0.253002743,0.227760066,0.565287002,0.183517445,0.617920826,0.098245382,0.615312799,-0.607028506,0.24302355,0.059060446,0
130,0.206720179,0.850337085,0.583711664,0.163293655,0.633908959,0.080897428,0.624778739,-0.665580317,0.222776046,0.049629167,0
131,0.144792827,0.823700097,0.559037906,0.159115946,0.604602944,0.056773829,0.603523503,-0.659908119,0.227414244,0.051717239,0
132,0.159961856,0.679799082,0.572526798,0.161049371,0.604021482,0.068119491,0.617672519,-0.546204852,0.231802515,0.053732406,0
133,0.433734044,-0.797446423,0.429698082,0.230856672,0.411132931,0.217588071,0.506564935,0.258786175,0.268267761,0.071967592,0
134,0.552350342,-1.343584608,0.441581562,0.273671437,0.391704285,0.257969454,0.532574408,0.162453132,0.297726761,0.088641224,0
135,0.542879141,-1.322269421,0.436129891,0.274676463,0.391704285,0.257969454,0.529182161,0.156374049,0.29970732,0.089824478,0
136,0.559556403,-1.324635785,0.417547874,0.279779703,0.30736403,0.266284585,0.516665947,0.259336309,0.304298329,0.092597473,0
137,0.58141474,-1.413088111,0.417149764,0.288797961,0.300712868,0.268654064,0.520051109,0.24194373,0.310546665,0.096439231,0
138,0.583589132,-1.457486871,0.423931998,0.291494569,0.300712868,0.25358939,0.526557313,0.236762658,0.312320772,0.097544265,0
139,0.535211698,-1.326103632,0.413041487,0.283015454,0.287844302,0.274340665,0.513178879,0.286191786,0.304547684,0.092749292,0
140,0.405186144,-0.569008836,0.367699308,0.235203219,0.322514447,0.204100709,0.455758049,0.549830516,0.269281671,0.072512618,0
141,0.412081735,-0.76316501,0.380698815,0.249574387,0.344505433,0.215055688,0.474370581,0.514230162,0.283012121,0.080095861,0
142,0.419740124,-0.701584271,0.391486392,0.240261042,0.425146593,0.242861131,0.47904839,0.481452346,0.276090139,0.076225765,0
143,0.420717186,-0.823601443,0.404581598,0.243161395,0.425146593,0.242861131,0.492020904,0.428194896,0.279996966,0.078398301,0
144,0.433623625,-0.895814609,0.425410672,0.249233533,0.472900321,0.262761603,0.514954626,0.381439619,0.290179301,0.084204027,0
145,0.425699889,-0.880380707,0.427829942,0.247545634,0.473386292,0.263247574,0.515978725,0.381663415,0.288436451,0.083195586,0
146,0.410617943,-0.861989522,0.429735548,0.245570691,0.473386292,0.263247574,0.516486515,0.390297611,0.286505984,0.082085679,0
147,0.3883092,-0.81999203,0.430519254,0.242177644,0.473386292,0.263247574,0.515824929,0.410013921,0.284127663,0.080728529,0
148,0.378038302,-0.808032832,0.432941714,0.240759518,0.473386292,0.263247574,0.517020237,0.408626782,0.282615282,0.079871398,0
149,0.373097298,-0.804748246,0.436991049,0.240331175,0.498339327,0.273351391,0.519568437,0.391580968,0.281051923,0.078990183,0
150,0.344985933,-0.38939308,0.409561621,0.205955193,0.419427659,0.202333487,0.483745295,0.533366845,0.257427251,0.06626879,0
151,0.392328165,-0.585103472,0.42859962,0.211628932,0.421753185,0.204049647,0.50347358,0.435606154,0.264174207,0.069788012,0
152,0.392328165,-0.546863379,0.423628935,0.210764596,0.419427659,0.202333487,0.49920672,0.488709573,0.264094442,0.069745874,0
153,0.273486734,-0.232755581,0.40837641,0.20136554,0.409012925,0.191309388,0.482647728,0.634534912,0.257249951,0.066177537,0
154,0.300600914,-0.182225302,0.484484586,0.184059682,0.448499973,0.115779866,0.541833207,0.185407262,0.242606492,0.05885791,0
155,0.277210359,-0.221388595,0.527206834,0.195250978,0.461792717,0.140568399,0.579900166,0.075035274,0.24153086,0.058337156,0
156,0.453084978,-0.818996234,0.416125283,0.233835698,0.384731296,0.224596992,0.499606124,0.463935265,0.276488749,0.076446028,0
157,0.459155985,-0.838186222,0.404261272,0.251710476,0.326917459,0.186182957,0.498065048,0.593939545,0.290932322,0.084641616,0
158,0.501262587,-0.84239384,0.374444271,0.266006025,0.259197538,0.182730827,0.481438466,0.66012222,0.302612763,0.091574484,0
